route,global_id,split,taxonomy_id,domain_l1_en,domain_l1_zh,domain_l2_en,domain_l2_zh,domain_path_en,domain_path_zh
route1,476,toc,10070,Photography,摄影,Photo Editing,照片编辑,Photography > Photo Editing,摄影->照片编辑
route1,479,toc,10051,Business,商务,Job Search & Recruiting,求职招聘,Business > Job Search & Recruiting,商务->求职招聘
route1,488,toc,10039,Education,教育,Language Learning,语言学习,Education > Language Learning,教育->语言学习
route1,489,toc,10072,Navigation,导航,Location Services,位置服务,Navigation > Location Services,导航->位置服务
route1,493,toc,10047,Business,商务,Office Collaboration,办公协作,Business > Office Collaboration,商务->办公协作
route1,496,toc,10037,Education,教育,Study Abroad Services,留学服务,Education > Study Abroad Services,教育->留学服务
route1,499,toc,10074,Navigation,导航,EV Charging Services,充电服务,Navigation > EV Charging Services,导航->充电服务
route1,500,toc,10050,Business,商务,Customer Management,客户管理,Business > Customer Management,商务->客户管理
route1,501,toc,10060,Entertainment,娱乐,Short Video,短视频,Entertainment > Short Video,娱乐->短视频
route1,504,toc,10045,Productivity,效率,Automation,自动化,Productivity > Automation,效率->自动化
route1,506,toc,10068,Music,音乐,Music Playback,音乐播放,Music > Music Playback,音乐->音乐播放
route1,509,toc,10040,Productivity,效率,Cloud Storage,云存储,Productivity > Cloud Storage,效率->云存储
route1,513,toc,10061,Entertainment,娱乐,Video Watching,视频观看,Entertainment > Video Watching,娱乐->视频观看
route1,515,toc,10042,Productivity,效率,Document Processing,文档处理,Productivity > Document Processing,效率->文档处理
route1,518,toc,10041,Productivity,效率,Task Management,任务管理,Productivity > Task Management,效率->任务管理
route1,520,toc,10044,Productivity,效率,Note Taking,笔记记录,Productivity > Note Taking,效率->笔记记录
route1,522,toc,10067,Music,音乐,Music Creation,音乐创作,Music > Music Creation,音乐->音乐创作
route1,525,toc,10064,Books,图书,E-books,电子书,Books > E-books,图书->电子书
route1,530,toc,10059,Entertainment,娱乐,Live Streaming Interaction,直播互动,Entertainment > Live Streaming Interaction,娱乐->直播互动
route1,532,toc,10046,Productivity,效率,Email Handling,邮件处理,Productivity > Email Handling,效率->邮件处理
route1,533,toc,10000,Social,社交,Instant Messaging,即时通讯,Social > Instant Messaging,社交->即时通讯
route1,535,toc,10076,Weather,天气,Historical Weather,历史天气,Weather > Historical Weather,天气->历史天气
route1,539,toc,10006,Lifestyle,生活,Beauty & Hair Salon,美容美发,Lifestyle > Beauty & Hair Salon,生活->美容美发
route1,542,toc,10096,Smart Devices,智能设备,Wearable Devices,可穿戴设备,Smart Devices > Wearable Devices,智能设备->可穿戴设备
route1,543,toc,10009,Lifestyle,生活,Parenting & Childcare,母婴育儿,Lifestyle > Parenting & Childcare,生活->母婴育儿
route1,547,toc,10097,Smart Devices,智能设备,Home Security,家庭安防,Smart Devices > Home Security,智能设备->家庭安防
route1,549,toc,10100,Smart Devices,智能设备,Car Connectivity,车机互联,Smart Devices > Car Connectivity,智能设备->车机互联
route1,553,toc,10099,Smart Devices,智能设备,Device Interconnection,设备联动,Smart Devices > Device Interconnection,智能设备->设备联动
route1,555,toc,10098,Smart Devices,智能设备,Smart Home,智能家居,Smart Devices > Smart Home,智能设备->智能家居
route1,558,toc,10002,Social,社交,Location Sharing,位置共享,Social > Location Sharing,社交->位置共享
route1,559,toc,10007,Lifestyle,生活,Auto Services,汽车服务,Lifestyle > Auto Services,生活->汽车服务
route1,561,toc,10078,Weather,天气,Weather Alerts,气象预警,Weather > Weather Alerts,天气->气象预警
route1,562,toc,10003,Social,社交,Social Networking,社交网络,Social > Social Networking,社交->社交网络
route1,564,toc,10005,Lifestyle,生活,Pet Services,宠物服务,Lifestyle > Pet Services,生活->宠物服务
route1,566,toc,10017,Travel,旅行,Travel Tools,旅行工具,Travel > Travel Tools,旅行->旅行工具
route1,571,toc,10018,Travel,旅行,Travel Expense Tracking,旅行记账,Travel > Travel Expense Tracking,旅行->旅行记账
route1,575,toc,10020,Travel,旅行,Itinerary Planning,行程规划,Travel > Itinerary Planning,旅行->行程规划
route1,577,toc,10021,Travel,旅行,Hotel Booking,酒店预订,Travel > Hotel Booking,旅行->酒店预订
route1,579,toe,30033,Approval Workflow,审批流程,Procurement Approval,采购审批,Approval Workflow > Procurement Approval,审批流程->采购审批
route1,581,toe,30021,HR Operations,人事相关,Attendance Management,考勤管理,HR Operations > Attendance Management,人事相关->考勤管理
route1,587,toe,30034,Approval Workflow,审批流程,Contract Approval,合同审批,Approval Workflow > Contract Approval,审批流程->合同审批
route1,590,toe,30002,Email Communication,邮件沟通,Email Template Management,邮件模板管理,Email Communication > Email Template Management,邮件沟通->邮件模板管理
route1,592,toe,30054,Customer Service,客户服务,Complaint Escalation Handling,投诉升级处理,Customer Service > Complaint Escalation Handling,客户服务->投诉升级处理
route1,595,toe,30055,Customer Service,客户服务,FAQ & Reply Template Maintenance,FAQ与回复模板维护,Customer Service > FAQ & Reply Template Maintenance,客户服务->FAQ与回复模板维护
route1,597,toe,30008,Document Handling,文档处理,Document Approval Workflow,文档审批流程,Document Handling > Document Approval Workflow,文档处理->文档审批流程
route1,603,toe,30012,Customer Management,客户管理,Customer Information Maintenance,客户信息维护,Customer Management > Customer Information Maintenance,客户管理->客户信息维护
route1,608,toe,30019,Travel Booking,差旅预订,Business Trip Itinerary Planning,出差行程规划,Travel Booking > Business Trip Itinerary Planning,差旅预订->出差行程规划
route1,615,toe,30052,Legal & Compliance,法务合规,IP Management,知识产权管理,Legal & Compliance > IP Management,法务合规->知识产权管理
route1,621,toe,30022,HR Operations,人事相关,Employee Records Management,员工档案管理,HR Operations > Employee Records Management,人事相关->员工档案管理
route1,623,toe,30037,Recruiting & Interviews,招聘面试,Candidate Screening,候选人筛选,Recruiting & Interviews > Candidate Screening,招聘面试->候选人筛选
route1,627,toe,30016,Project Management,项目管理,Project Risk Management,项目风险管理,Project Management > Project Risk Management,项目管理->项目风险管理
route1,630,toe,30000,Email Communication,邮件沟通,Client Follow-up Emails,客户跟进邮件,Email Communication > Client Follow-up Emails,邮件沟通->客户跟进邮件
route1,631,toe,30031,Task Collaboration,任务协作,Cross-department Collaboration,跨部门协作,Task Collaboration > Cross-department Collaboration,任务协作->跨部门协作
route1,636,toe,30003,Meeting Management,会议管理,Meeting Scheduling Coordination,会议预约协调,Meeting Management > Meeting Scheduling Coordination,会议管理->会议预约协调
route1,642,toe,30004,Meeting Management,会议管理,Meeting Agenda Preparation,会议议程准备,Meeting Management > Meeting Agenda Preparation,会议管理->会议议程准备
route1,643,toe,30015,Project Management,项目管理,Task Assignment Management,任务分配管理,Project Management > Task Assignment Management,项目管理->任务分配管理
route1,647,toe,30001,Email Communication,邮件沟通,Meeting Minutes Emails,会议纪要邮件,Email Communication > Meeting Minutes Emails,邮件沟通->会议纪要邮件
route1,648,toe,30051,Legal & Compliance,法务合规,Compliance Review,合规审查,Legal & Compliance > Compliance Review,法务合规->合规审查
route1,652,toe,30032,Task Collaboration,任务协作,Remote Collaboration Management,远程协作管理,Task Collaboration > Remote Collaboration Management,任务协作->远程协作管理
route1,657,toe,30028,Report Writing,报告撰写,Special Report Writing,专项报告撰写,Report Writing > Special Report Writing,报告撰写->专项报告撰写
route1,661,toe,30038,Recruiting & Interviews,招聘面试,Interview Scheduling Coordination,面试安排协调,Recruiting & Interviews > Interview Scheduling Coordination,招聘面试->面试安排协调
route1,663,toe,30013,Customer Management,客户管理,Customer Tier Management,客户分级管理,Customer Management > Customer Tier Management,客户管理->客户分级管理
route1,664,toe,30020,Travel Booking,差旅预订,Travel Expense Control,差旅费用控制,Travel Booking > Travel Expense Control,差旅预订->差旅费用控制
route1,672,tob,20076,Legal Services,法律行业,Lawyer,律师,Legal Services > Lawyer,法律行业->律师
route1,685,tob,20006,Healthcare,医疗健康,Medical Imaging Technician,医学影像技师,Healthcare > Medical Imaging Technician,医疗健康->医学影像技师
route1,686,tob,20084,Human Resources,人力资源,Performance Specialist,绩效专员,Human Resources > Performance Specialist,人力资源->绩效专员
route1,694,toc,10052,Business,商务,Remote Work,远程办公,Business > Remote Work,商务->远程办公
route1,695,toc,10034,Education,教育,K12 Education,K12教育,Education > K12 Education,教育->K12教育
route1,696,toc,10054,Finance,财务,Debt Management,债务管理,Finance > Debt Management,财务->债务管理
route1,698,toc,10036,Education,教育,Early Childhood Education,早教启蒙,Education > Early Childhood Education,教育->早教启蒙
route1,700,toc,10091,Public Service,公共服务,Public Utility Payments,公共缴费,Public Service > Public Utility Payments,公共服务->公共缴费
route1,703,toc,10035,Education,教育,Online Courses,在线课程,Education > Online Courses,教育->在线课程
route1,704,toc,10049,Business,商务,Business Networking,商务社交,Business > Business Networking,商务->商务社交
route1,705,toc,10088,Medical,医疗,Medical Services,医疗服务,Medical > Medical Services,医疗->医疗服务
route1,706,toc,10056,Finance,财务,Tax Services,税务服务,Finance > Tax Services,财务->税务服务
route1,708,toe,30018,Expense Reimbursement,财务报销,Routine Expense Reimbursement,日常费用报销,Expense Reimbursement > Routine Expense Reimbursement,财务报销->日常费用报销
route1,710,toe,30027,Report Writing,报告撰写,Weekly/Monthly Report Writing,周报月报撰写,Report Writing > Weekly/Monthly Report Writing,报告撰写->周报月报撰写
route1,712,toe,30007,Document Handling,文档处理,Document Version Control,文档版本管理,Document Handling > Document Version Control,文档处理->文档版本管理
route1,713,toe,30043,Contract Management,合同管理,Contract Drafting & Review,合同起草审核,Contract Management > Contract Drafting & Review,合同管理->合同起草审核
route1,717,tob,20156,Research,科研行业,Researcher,研究员,Research > Researcher,科研行业->研究员
route1,720,tob,20062,Manufacturing,制造业,Quality Engineer,质量工程师,Manufacturing > Quality Engineer,制造业->质量工程师
route1,721,tob,20169,Biotech & Bioinformatics,生物科技与生物信息,Bioinformatics Analyst,生物信息分析师,Biotech & Bioinformatics > Bioinformatics Analyst,生物科技与生物信息->生物信息分析师
route1,722,toc,10058,Finance,财务,Banking Services,银行服务,Finance > Banking Services,财务->银行服务
route1,724,toc,10016,Travel,旅行,Transportation,交通出行,Travel > Transportation,旅行->交通出行
route1,734,toc,10019,Travel,旅行,Visa Application,签证办理,Travel > Visa Application,旅行->签证办理
route1,736,toc,10031,Health,健康,Sleep Management,睡眠管理,Health > Sleep Management,健康->睡眠管理
route1,737,toc,10027,Shopping,购物,Cross-border E-commerce,跨境电商,Shopping > Cross-border E-commerce,购物->跨境电商
route1,741,toc,10025,Shopping,购物,Fresh Grocery E-commerce,生鲜电商,Shopping > Fresh Grocery E-commerce,购物->生鲜电商
route1,743,toc,10095,Public Service,公共服务,ID & Document Processing,证件办理,Public Service > ID & Document Processing,公共服务->证件办理
route1,744,toc,10090,Medical,医疗,Symptom Checker,症状自查,Medical > Symptom Checker,医疗->症状自查
route1,745,toc,10023,Shopping,购物,Price Monitoring,价格监控,Shopping > Price Monitoring,购物->价格监控
route1,746,toc,10089,Medical,医疗,Rehabilitation Guidance,康复指导,Medical > Rehabilitation Guidance,医疗->康复指导
route1,748,toc,10094,Public Service,公共服务,Social Security & Medical Insurance,社保医保,Public Service > Social Security & Medical Insurance,公共服务->社保医保
route1,749,toc,10026,Shopping,购物,General E-commerce,综合电商,Shopping > General E-commerce,购物->综合电商
route1,754,tob,20091,Media,传媒行业,Journalist,记者,Media > Journalist,传媒行业->记者
route1,758,tob,20184,Media,传媒行业,Livestream Operations,直播运营,Media > Livestream Operations,传媒行业->直播运营
route1,759,tob,20064,Manufacturing,制造业,Equipment Engineer,设备工程师,Manufacturing > Equipment Engineer,制造业->设备工程师
route1,762,tob,20173,Natural Science & Mathematics,自然科学与数学,Operations Research Engineer,运筹优化工程师,Natural Science & Mathematics > Operations Research Engineer,自然科学与数学->运筹优化工程师
route1,766,toc,10066,Music,音乐,Concerts,演唱会,Music > Concerts,音乐->演唱会
route1,767,toc,10043,Productivity,效率,Time Management,时间管理,Productivity > Time Management,效率->时间管理
route1,769,toc,10065,Books,图书,Reading Notes,读书笔记,Books > Reading Notes,图书->读书笔记
route1,771,toc,10077,Weather,天气,Weather Forecast,天气预报,Weather > Weather Forecast,天气->天气预报
route1,776,toc,10011,Lifestyle,生活,Flower Delivery,鲜花配送,Lifestyle > Flower Delivery,生活->鲜花配送
route1,777,toc,10028,Health,健康,Health Monitoring,健康监测,Health > Health Monitoring,健康->健康监测
route1,778,toc,10004,Lifestyle,生活,Home Services,家政服务,Lifestyle > Home Services,生活->家政服务
route1,781,toc,10008,Lifestyle,生活,Real Estate Services,房产服务,Lifestyle > Real Estate Services,生活->房产服务
route1,783,toc,10010,Lifestyle,生活,Laundry Services,洗衣服务,Lifestyle > Laundry Services,生活->洗衣服务
route1,784,toc,10073,Navigation,导航,Parking Services,停车服务,Navigation > Parking Services,导航->停车服务
route1,785,toc,10069,Photography,摄影,Photography Equipment,摄影器材,Photography > Photography Equipment,摄影->摄影器材
route1,787,toc,10001,Social,社交,Video Calls,视频通话,Social > Video Calls,社交->视频通话
route1,789,toe,30010,Data Analysis,数据分析,Customer Data Analysis,客户数据分析,Data Analysis > Customer Data Analysis,数据分析->客户数据分析
route1,791,toe,30014,Project Management,项目管理,Project Progress Tracking,项目进度跟踪,Project Management > Project Progress Tracking,项目管理->项目进度跟踪
route1,793,toe,30060,Business Material Preparation,商务材料制作,Presentation Material Preparation,汇报材料制作,Business Material Preparation > Presentation Material Preparation,商务材料制作->汇报材料制作
route1,801,toe,30046,Vendor Management,供应商管理,Vendor Relationship Management,供应商关系维护,Vendor Management > Vendor Relationship Management,供应商管理->供应商关系维护
route1,804,tob,20004,Finance,金融,Trader,交易员,Finance > Trader,金融->交易员
route1,806,tob,20178,Government & Public Sector,政务与公共事业,Government Service Operations Specialist,政务服务运营专员,Government & Public Sector > Government Service Operations Specialist,政务与公共事业->政务服务运营专员
route1,811,tob,20140,Insurance,保险行业,Insurance Customer Service,保险客服,Insurance > Insurance Customer Service,保险行业->保险客服
route1,813,tob,20008,Healthcare,医疗健康,Medical Researcher,医学研究员,Healthcare > Medical Researcher,医疗健康->医学研究员
route1,814,toe,30053,Customer Service,客户服务,Customer Ticket Handling,客户工单处理,Customer Service > Customer Ticket Handling,客户服务->客户工单处理
route1,816,toe,30044,Contract Management,合同管理,Contract Performance Tracking,合同履约跟踪,Contract Management > Contract Performance Tracking,合同管理->合同履约跟踪
route1,819,tob,20035,Publishing,出版行业,Editor,编辑,Publishing > Editor,出版行业->编辑
route1,821,tob,20021,Agriculture,农业行业,Farm Manager,农场经理,Agriculture > Farm Manager,农业行业->农场经理
route1,822,tob,20044,Aviation,航空行业,Maintenance Engineer,维修工程师,Aviation > Maintenance Engineer,航空行业->维修工程师
route1,824,tob,20011,IT & Internet,IT互联网,Algorithm Engineer,算法工程师,IT & Internet > Algorithm Engineer,IT互联网->算法工程师
route1,825,tob,20001,Finance,金融,Risk Control Specialist,风控专员,Finance > Risk Control Specialist,金融->风控专员
route1,827,tob,20049,Sports Industry,体育行业,Athlete Agent,运动员经纪人,Sports Industry > Athlete Agent,体育行业->运动员经纪人
